15,0.04156,aqueous removal studies adsorption solution liquid ii extraction carbon equilibrium activated solutions study ionic phase membrane ions acid iii 
12,0.03937,system power based analysis energy design control systems approach model development management hybrid performance load distribution controller storage quality 
16,0.03735,alloy al effect properties mechanical ti cu ni alloys microstructure behavior fe study high si behaviour microstructural evolution plasma 
3,0.03645,heat flow transfer convection porous thermal effects fluid effect vertical mass analysis plate medium natural layer numerical surface free 
2,0.03537,thin films properties zno optical temperature effect film doped structural electrical synthesis oxide characterization nanoparticles method influence prepared deposited 
1,0.03514,analysis composite vibration shear plates reinforced behavior concrete finite dynamic beams beam response seismic analytical free element structures elastic 
23,0.03369,experimental study investigation flow air modeling simulation analysis model pressure numerical studies system effect size particle dynamics phase performance 
10,0.03328,optimization based algorithm multi design approach fuzzy objective optimal genetic system selection model problem scheduling process chain particle supply 
24,0.03179,based image detection wavelet classification transform system adaptive fault images signal approach diagnosis analysis fuzzy noise enhancement technique signals 
21,0.03038,properties structural magnetic doped dielectric studies nanoparticles electrical effect optical ceramics gel zn sol synthesized synthesis microwave fe study 
5,0.02952,carbon composites characterization properties evaluation based synthesis nanoparticles nanocomposites modified thermal reinforced mechanical drug epoxy development hybrid polymer delivery 
9,0.02907,steel corrosion stainless high influence behaviour strength effect strain behavior low fatigue concrete tensile cr modified mo temperature deformation 
20,0.0279,machining surface metal wear optimization parameters matrix composite process al response based discharge composites experimental tool steel performance taguchi 
26,0.02722,synthesis nanoparticles degradation acid catalyst photocatalytic characterization tio metal oxidation catalytic activity assisted supported efficient light solid selective reaction 
11,0.02496,phase control based power voltage dc single induction motor inverter current converter generator frequency controlled drive analysis mode source 
7,0.02338,network neural sensor networks based wireless analysis artificial data fiber dynamic energy modeling approach optical model mobile fault control 
14,0.02299,bed ash reactor fly fluidized rice studies solid production carbon application modeling experimental packed high gas design continuous waste 
28,0.02299,characterization production waste sp iron industry degradation bacillus microbial coal ore industrial chemical beta indian process reduction spent wastewater 
8,0.02292,gate performance based low model high modeling impact field analytical double design mosfet current voltage power effect applications material 
22,0.02203,poly membrane characterization acid synthesis membranes composite water based alcohol separation properties ethylene performance preparation ether blend cellulose methacrylate 
6,0.02054,process welding friction surface parameters optimization response analysis methodology modeling arc stir development submerged effect prediction alloy strength laser 
19,0.02039,india water indian assessment study case evaluation arsenic groundwater climate potential health basin bengal development management application coal nuclear 
18,0.01866,multiple performance channel systems multi based frequency time selection networks sensing analysis joint optimal low scheme orthogonal mimo estimation 
25,0.01785,method order fractional differential architecture design filter equations based adaptive solution systems improved application control linear step reduced high 
27,0.01751,antenna band microstrip compact applications design resonator dual structure shaped patch slot array wideband fed waveguide dielectric antennas wave 
29,0.01611,cell solar study cells fuel based air dye performance wastewater treatment sensitized membrane single polymer optimization carlo monte electrolyte 
4,0.01604,time model control systems system nonlinear mode inventory delay sliding dependent stochastic varying class production state predictive estimation demand 
17,0.01529,high large density scale pressure small energy photonic design low study crystal core binary angle range structure ball dimensional 
13,0.01388,oil engine diesel performance biodiesel effect combustion emission fuel production characteristics studies injection blends methyl jatropha evaluation fueled comparative 
0,0.00657,effect study comparative disease conveying pneumatic patients dense chronic stress heart oxidative aided type effects sampling coronary role hypertensive 
